step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,err_x,err_y,err_yaw,tracking_error_sq,tracking_deviation,v_cmd,w_cmd,control_effort,solve_time_ms,stage_cost,cumulative_cost
0,0.9954288005828857,-3.9997033608614494,3.4999999967919515,-6.878798140754972e-07,-3.9997033608614494,3.4999999967919515,-6.878798140754972e-07,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,1.25,16.579779010498896,0.3625,0.3625
1,1.1805520057678223,-3.992777951470064,3.499999971246246,3.943837436035047e-07,-3.7997033608614967,3.499999859215989,-0.24000068787981407,-0.19307459060856713,1.1203025707118286e-07,0.2400010822635577,0.09487831702635735,0.19307459060859963,0.5,-1.0,1.25,1.3941460056230426,0.7013678242074282,1.0638678242074282
2,1.3810019493103027,-3.947745226982203,3.499999876377702,1.1464599367505412e-06,-3.6054357985933043,3.4524592002978163,-0.48000068787981415,-0.3423094283888988,0.04754067607988555,0.4800018343397509,0.3498376216155929,0.3455949372402137,0.5,-1.0,1.25,2.0525529980659485,1.5399186858154548,2.603786510022883
3,1.5812151432037354,-3.8639445728818766,3.499516399131904,-0.03372640019866903,-3.4280368775672043,3.360103243160361,-0.7200006878798142,-0.4359076953146723,0.13941315597154302,0.6862742876811452,0.6804239448247582,0.45765876686948215,0.5,-1.0,1.25,2.0764979999512434,2.5611540772194963,5.164940587242379
4,1.7801506519317627,-3.7799967946542066,3.490043222767431,-0.19589133750247914,-3.277675822454542,3.2282262053357003,-0.9231124119184004,-0.5023209721996644,0.2618170174317309,0.7272210744159213,0.8497250008031103,0.5664578622708518,0.5,-1.0,1.25,1.2689709983533248,3.3454480405200737,8.510388627762453
5,1.9815442562103271,-3.6667704860777457,3.453102066779432,-0.43444982507541374,-3.157007625183215,3.068729540269348,-1.0580956015026426,-0.5097628608945306,0.3843725265100839,0.6236457764272288,0.7965344679386428,0.6384359118056578,0.5,-1.0,1.25,1.3977930066175759,3.5859705898097727,12.096359217572225
6,2.1818695068359375,-3.592960513814996,3.4108947781179184,-0.6042524222190913,-3.058901123818828,2.894444961519421,-1.1479878205873544,-0.5340593899961679,0.5164498165984974,0.5437353983682631,0.8475880285463944,0.7429265408556223,0.5,-1.0,1.25,2.6264539919793606,4.265435437523591,16.361794655095814
7,2.3812718391418457,-3.519043490574325,3.3444974637832083,-0.8185043240776348,-2.9768364723190697,2.7120569329259214,-1.2079448676126217,-0.5422070182552554,0.6324405308572869,0.3894405435349868,0.8456334126651277,0.8330483033511933,0.5,-0.6001238689433464,0.6101486580755308,2.0486339926719666,4.653679417637005,21.015474072732818
8,2.5801756381988525,-3.463938728710723,3.2654503955376244,-0.98886346705019,-2.905848178496652,2.5250792279978147,-1.2479898528271085,-0.5580905502140712,0.7403711675398097,0.2591263857769185,0.9267610117683139,0.9271539936615198,0.5,-0.0747698962043098,0.25559053737840326,1.364087002002634,5.38375697626744,26.399231049000257
9,2.7811999320983887,-3.4223333193792103,3.1819466569594517,-1.0666879393428983,-2.84240231393659,2.335409456367683,-1.2747706238939294,-0.5799310054426203,0.8465372005917686,0.20808268455103104,1.0962436066694008,1.0261311821884358,0.5,0.17149124627286153,0.2794092475482192,1.178301012259908,6.4816552548704305,32.88088630387069
