step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.785398,0.4,0.785398,4.0,7.853982
1,0.1,0.04,0.0,0.07854,0.04,0.0,0.07854,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
2,0.2,0.079877,0.003138,0.15708,0.079877,0.003138,0.15708,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
3,0.3,0.119384,0.009396,0.235619,0.119384,0.009396,0.235619,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
4,0.4,0.158279,0.018734,0.314159,0.158279,0.018734,0.314159,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
5,0.5,0.196321,0.031094,0.392699,0.196321,0.031094,0.392699,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
6,0.6,0.233276,0.046402,0.471239,0.233276,0.046402,0.471239,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
7,0.7,0.268917,0.064561,0.549779,0.268917,0.064561,0.549779,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
8,0.8,0.303022,0.085461,0.628319,0.303022,0.085461,0.628319,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
9,0.9,0.335383,0.108973,0.706858,0.335383,0.108973,0.706858,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
10,1.0,0.365799,0.13495,0.785398,0.365799,0.13495,0.785398,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
11,1.1,0.394084,0.163235,0.863938,0.394084,0.163235,0.863938,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
12,1.2,0.420061,0.193651,0.942478,0.420061,0.193651,0.942478,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
13,1.3,0.443573,0.226012,1.021018,0.443573,0.226012,1.021018,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
14,1.4,0.464473,0.260117,1.099557,0.464473,0.260117,1.099557,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
15,1.5,0.482632,0.295758,1.178097,0.482632,0.295758,1.178097,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
16,1.6,0.49794,0.332713,1.256637,0.49794,0.332713,1.256637,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
17,1.7,0.5103,0.370755,1.335177,0.5103,0.370755,1.335177,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
18,1.8,0.519638,0.40965,1.413717,0.519638,0.40965,1.413717,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
19,1.9,0.525896,0.449157,1.492257,0.525896,0.449157,1.492257,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
20,2.0,0.529034,0.489034,1.570796,0.529034,0.489034,1.570796,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
21,2.1,0.529034,0.529034,1.649336,0.529034,0.529034,1.649336,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
22,2.2,0.525896,0.568911,1.727876,0.525896,0.568911,1.727876,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
23,2.3,0.519638,0.608418,1.806416,0.519638,0.608418,1.806416,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
24,2.4,0.5103,0.647313,1.884956,0.5103,0.647313,1.884956,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
25,2.5,0.49794,0.685355,1.963495,0.49794,0.685355,1.963495,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
26,2.6,0.482632,0.72231,2.042035,0.482632,0.72231,2.042035,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
27,2.7,0.464473,0.757951,2.120575,0.464473,0.757951,2.120575,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
28,2.8,0.443573,0.792056,2.199115,0.443573,0.792056,2.199115,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
29,2.9,0.420061,0.824417,2.277655,0.420061,0.824417,2.277655,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
30,3.0,0.394084,0.854833,2.356194,0.394084,0.854833,2.356194,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
31,3.1,0.365799,0.883118,2.434734,0.365799,0.883118,2.434734,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
32,3.2,0.335383,0.909095,2.513274,0.335383,0.909095,2.513274,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
33,3.3,0.303022,0.932607,2.591814,0.303022,0.932607,2.591814,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
34,3.4,0.268917,0.953507,2.670354,0.268917,0.953507,2.670354,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
35,3.5,0.233276,0.971666,2.748894,0.233276,0.971666,2.748894,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
36,3.6,0.196321,0.986974,2.827433,0.196321,0.986974,2.827433,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
37,3.7,0.158279,0.999334,2.905973,0.158279,0.999334,2.905973,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
38,3.8,0.119384,1.008672,2.984513,0.119384,1.008672,2.984513,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
39,3.9,0.079877,1.01493,3.063053,0.079877,1.01493,3.063053,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
40,4.0,0.04,1.018068,3.141593,0.04,1.018068,3.141593,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
41,4.1,0.0,1.018068,3.220132,0.0,1.018068,3.220132,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
42,4.2,-0.039877,1.01493,3.298672,-0.039877,1.01493,3.298672,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
43,4.3,-0.079384,1.008672,3.377212,-0.079384,1.008672,3.377212,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
44,4.4,-0.118279,0.999334,3.455752,-0.118279,0.999334,3.455752,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
45,4.5,-0.156321,0.986974,3.534292,-0.156321,0.986974,3.534292,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
46,4.6,-0.193276,0.971666,3.612832,-0.193276,0.971666,3.612832,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
47,4.7,-0.228917,0.953507,3.691371,-0.228917,0.953507,3.691371,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
48,4.8,-0.263022,0.932607,3.769911,-0.263022,0.932607,3.769911,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
49,4.9,-0.295383,0.909095,3.848451,-0.295383,0.909095,3.848451,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
50,5.0,-0.325799,0.883118,3.926991,-0.325799,0.883118,3.926991,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
51,5.1,-0.354084,0.854833,4.005531,-0.354084,0.854833,4.005531,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
52,5.2,-0.380061,0.824417,4.08407,-0.380061,0.824417,4.08407,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
53,5.3,-0.403573,0.792056,4.16261,-0.403573,0.792056,4.16261,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
54,5.4,-0.424473,0.757951,4.24115,-0.424473,0.757951,4.24115,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
55,5.5,-0.442632,0.72231,4.31969,-0.442632,0.72231,4.31969,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
56,5.6,-0.45794,0.685355,4.39823,-0.45794,0.685355,4.39823,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
57,5.7,-0.4703,0.647313,4.47677,-0.4703,0.647313,4.47677,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
58,5.8,-0.479638,0.608418,4.555309,-0.479638,0.608418,4.555309,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
59,5.9,-0.485896,0.568911,4.633849,-0.485896,0.568911,4.633849,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
60,6.0,-0.489034,0.529034,4.712389,-0.489034,0.529034,4.712389,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
61,6.1,-0.489034,0.489034,4.790929,-0.489034,0.489034,4.790929,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
62,6.2,-0.485896,0.449157,4.869469,-0.485896,0.449157,4.869469,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
63,6.3,-0.479638,0.40965,4.948008,-0.479638,0.40965,4.948008,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
64,6.4,-0.4703,0.370755,5.026548,-0.4703,0.370755,5.026548,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
65,6.5,-0.45794,0.332713,5.105088,-0.45794,0.332713,5.105088,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
66,6.6,-0.442632,0.295758,5.183628,-0.442632,0.295758,5.183628,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
67,6.7,-0.424473,0.260117,5.262168,-0.424473,0.260117,5.262168,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
68,6.8,-0.403573,0.226012,5.340708,-0.403573,0.226012,5.340708,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
69,6.9,-0.380061,0.193651,5.419247,-0.380061,0.193651,5.419247,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
70,7.0,-0.354084,0.163235,5.497787,-0.354084,0.163235,5.497787,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
71,7.1,-0.325799,0.13495,5.576327,-0.325799,0.13495,5.576327,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
72,7.2,-0.295383,0.108973,5.654867,-0.295383,0.108973,5.654867,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
73,7.3,-0.263022,0.085461,5.733407,-0.263022,0.085461,5.733407,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
74,7.4,-0.228917,0.064561,5.811946,-0.228917,0.064561,5.811946,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
75,7.5,-0.193276,0.046402,5.890486,-0.193276,0.046402,5.890486,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
76,7.6,-0.156321,0.031094,5.969026,-0.156321,0.031094,5.969026,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
77,7.7,-0.118279,0.018734,6.047566,-0.118279,0.018734,6.047566,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
78,7.8,-0.079384,0.009396,6.126106,-0.079384,0.009396,6.126106,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
79,7.9,-0.039877,0.003138,6.204645,-0.039877,0.003138,6.204645,0.0,0.0,0.4,0.785398,0.0,0.0,0.0,0.0
80,8.0,0.0,0.0,6.283185,0.0,0.0,6.283185,0.0,0.0,0.4,-0.785398,0.0,-1.570796,0.0,-15.707963
81,8.1,0.04,0.0,6.204645,0.04,0.0,6.204645,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
82,8.2,0.079877,-0.003138,6.126106,0.079877,-0.003138,6.126106,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
83,8.3,0.119384,-0.009396,6.047566,0.119384,-0.009396,6.047566,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
84,8.4,0.158279,-0.018734,5.969026,0.158279,-0.018734,5.969026,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
85,8.5,0.196321,-0.031094,5.890486,0.196321,-0.031094,5.890486,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
86,8.6,0.233276,-0.046402,5.811946,0.233276,-0.046402,5.811946,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
87,8.7,0.268917,-0.064561,5.733407,0.268917,-0.064561,5.733407,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
88,8.8,0.303022,-0.085461,5.654867,0.303022,-0.085461,5.654867,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
89,8.9,0.335383,-0.108973,5.576327,0.335383,-0.108973,5.576327,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
90,9.0,0.365799,-0.13495,5.497787,0.365799,-0.13495,5.497787,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
91,9.1,0.394084,-0.163235,5.419247,0.394084,-0.163235,5.419247,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
92,9.2,0.420061,-0.193651,5.340708,0.420061,-0.193651,5.340708,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
93,9.3,0.443573,-0.226012,5.262168,0.443573,-0.226012,5.262168,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
94,9.4,0.464473,-0.260117,5.183628,0.464473,-0.260117,5.183628,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
95,9.5,0.482632,-0.295758,5.105088,0.482632,-0.295758,5.105088,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
96,9.6,0.49794,-0.332713,5.026548,0.49794,-0.332713,5.026548,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
97,9.7,0.5103,-0.370755,4.948008,0.5103,-0.370755,4.948008,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
98,9.8,0.519638,-0.40965,4.869469,0.519638,-0.40965,4.869469,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
99,9.9,0.525896,-0.449157,4.790929,0.525896,-0.449157,4.790929,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
100,10.0,0.529034,-0.489034,4.712389,0.529034,-0.489034,4.712389,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
101,10.1,0.529034,-0.529034,4.633849,0.529034,-0.529034,4.633849,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
102,10.2,0.525896,-0.568911,4.555309,0.525896,-0.568911,4.555309,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
103,10.3,0.519638,-0.608418,4.47677,0.519638,-0.608418,4.47677,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
104,10.4,0.5103,-0.647313,4.39823,0.5103,-0.647313,4.39823,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
105,10.5,0.49794,-0.685355,4.31969,0.49794,-0.685355,4.31969,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
106,10.6,0.482632,-0.72231,4.24115,0.482632,-0.72231,4.24115,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
107,10.7,0.464473,-0.757951,4.16261,0.464473,-0.757951,4.16261,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
108,10.8,0.443573,-0.792056,4.08407,0.443573,-0.792056,4.08407,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
109,10.9,0.420061,-0.824417,4.005531,0.420061,-0.824417,4.005531,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
110,11.0,0.394084,-0.854833,3.926991,0.394084,-0.854833,3.926991,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
111,11.1,0.365799,-0.883118,3.848451,0.365799,-0.883118,3.848451,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
112,11.2,0.335383,-0.909095,3.769911,0.335383,-0.909095,3.769911,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
113,11.3,0.303022,-0.932607,3.691371,0.303022,-0.932607,3.691371,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
114,11.4,0.268917,-0.953507,3.612832,0.268917,-0.953507,3.612832,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
115,11.5,0.233276,-0.971666,3.534292,0.233276,-0.971666,3.534292,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
116,11.6,0.196321,-0.986974,3.455752,0.196321,-0.986974,3.455752,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
117,11.7,0.158279,-0.999334,3.377212,0.158279,-0.999334,3.377212,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
118,11.8,0.119384,-1.008672,3.298672,0.119384,-1.008672,3.298672,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
119,11.9,0.079877,-1.01493,3.220132,0.079877,-1.01493,3.220132,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
120,12.0,0.04,-1.018068,3.141593,0.04,-1.018068,3.141593,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
121,12.1,0.0,-1.018068,3.063053,0.0,-1.018068,3.063053,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
122,12.2,-0.039877,-1.01493,2.984513,-0.039877,-1.01493,2.984513,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
123,12.3,-0.079384,-1.008672,2.905973,-0.079384,-1.008672,2.905973,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
124,12.4,-0.118279,-0.999334,2.827433,-0.118279,-0.999334,2.827433,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
125,12.5,-0.156321,-0.986974,2.748894,-0.156321,-0.986974,2.748894,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
126,12.6,-0.193276,-0.971666,2.670354,-0.193276,-0.971666,2.670354,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
127,12.7,-0.228917,-0.953507,2.591814,-0.228917,-0.953507,2.591814,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
128,12.8,-0.263022,-0.932607,2.513274,-0.263022,-0.932607,2.513274,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
129,12.9,-0.295383,-0.909095,2.434734,-0.295383,-0.909095,2.434734,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
130,13.0,-0.325799,-0.883118,2.356194,-0.325799,-0.883118,2.356194,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
131,13.1,-0.354084,-0.854833,2.277655,-0.354084,-0.854833,2.277655,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
132,13.2,-0.380061,-0.824417,2.199115,-0.380061,-0.824417,2.199115,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
133,13.3,-0.403573,-0.792056,2.120575,-0.403573,-0.792056,2.120575,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
134,13.4,-0.424473,-0.757951,2.042035,-0.424473,-0.757951,2.042035,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
135,13.5,-0.442632,-0.72231,1.963495,-0.442632,-0.72231,1.963495,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
136,13.6,-0.45794,-0.685355,1.884956,-0.45794,-0.685355,1.884956,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
137,13.7,-0.4703,-0.647313,1.806416,-0.4703,-0.647313,1.806416,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
138,13.8,-0.479638,-0.608418,1.727876,-0.479638,-0.608418,1.727876,0.0,0.0,0.4,-0.785398,0.0,0.0,0.0,0.0
