step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.07,0.0525,0.07,0.525,0.7
1,0.1,0.00525,0.0,0.007,0.04,0.0,0.07854,0.03475,-0.07154,0.105,0.14,0.0525,0.07,0.525,0.7
2,0.2,0.01575,7.3e-05,0.021,0.079877,0.003138,0.15708,0.0642,-0.13608,0.1575,0.21,0.0525,0.07,0.525,0.7
3,0.3,0.031496,0.000404,0.042,0.119384,0.009396,0.235619,0.088347,-0.193619,0.21,0.28,0.0525,0.07,0.525,0.7
4,0.4,0.052478,0.001286,0.07,0.158279,0.018734,0.314159,0.10723,-0.244159,0.259742,0.35,0.049742,0.07,0.497424,0.7
5,0.5,0.078388,0.003103,0.105,0.196321,0.031094,0.392699,0.121209,-0.287699,0.303598,0.42,0.043855,0.07,0.438553,0.7
6,0.6,0.108581,0.006285,0.147,0.233276,0.046402,0.471239,0.13099,-0.324239,0.338858,0.49,0.03526,0.07,0.3526,0.7
7,0.7,0.142101,0.011248,0.196,0.268917,0.064561,0.549779,0.137566,-0.353779,0.364779,0.56,0.025922,0.07,0.259218,0.7
8,0.8,0.177881,0.018352,0.252,0.303022,0.085461,0.628319,0.142,-0.376319,0.341082,0.63,-0.023697,0.07,-0.236973,0.7
9,0.9,0.210912,0.026856,0.315,0.335383,0.108973,0.706858,0.149118,-0.391858,0.329934,0.699307,-0.011148,0.069307,-0.111483,0.693067
10,1.0,0.242282,0.037078,0.384931,0.365799,0.13495,0.785398,0.157593,-0.400467,0.329781,0.759235,-0.000153,0.059928,-0.001533,0.599285
11,1.1,0.272847,0.049461,0.460854,0.394084,0.163235,0.863938,0.166261,-0.403084,0.338169,0.808925,0.008388,0.04969,0.08388,0.4969
12,1.2,0.303135,0.0645,0.541747,0.420061,0.193651,0.942478,0.174217,-0.400731,0.352272,0.848149,0.014104,0.039224,0.141039,0.392238
13,1.3,0.333318,0.082665,0.626562,0.443573,0.226012,1.021018,0.180844,-0.394456,0.369339,0.877201,0.017067,0.029052,0.170665,0.290518
14,1.4,0.363237,0.104321,0.714282,0.464473,0.260117,1.099557,0.185799,-0.385276,0.344396,0.866853,-0.024943,-0.010347,-0.249432,-0.103474
15,1.5,0.389258,0.126882,0.800967,0.482632,0.295758,1.178097,0.192971,-0.37713,0.338034,0.854947,-0.006362,-0.011906,-0.063617,-0.119059
16,1.6,0.412786,0.151154,0.886462,0.49794,0.332713,1.256637,0.200537,-0.370175,0.34497,0.841847,0.006936,-0.013101,0.069363,-0.131006
