step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.785398,0.4,0.785398,4.0,7.853982
1,0.1,0.04,0.0,0.07854,0.04,0.0,0.07854,0.0,0.0,0.57792,1.165805,0.17792,0.380407,1.779196,3.804072
2,0.2,0.097614,0.004534,0.19512,0.079877,0.003138,0.15708,0.017792,0.038041,0.635676,1.2,0.057757,0.034195,0.577566,0.341947
3,0.3,0.159975,0.016859,0.31512,0.119384,0.009396,0.235619,0.041271,0.079501,0.678757,1.2,0.043081,0.0,0.430807,0.0
4,0.4,0.224509,0.037896,0.43512,0.158279,0.018734,0.314159,0.068946,0.120961,0.708454,1.2,0.029697,0.0,0.29697,0.0
5,0.5,0.288753,0.067759,0.55512,0.196321,0.031094,0.392699,0.099437,0.162421,0.677105,1.2,-0.031349,0.0,-0.31349,0.0
6,0.6,0.346295,0.103445,0.67512,0.233276,0.046402,0.471239,0.126599,0.203881,0.676799,1.2,-0.000306,0.0,-0.003058,0.0
7,0.7,0.399129,0.145744,0.79512,0.268917,0.064561,0.549779,0.153447,0.245342,0.690342,1.2,0.013543,0.0,0.135429,0.0
8,0.8,0.447466,0.195031,0.91512,0.303022,0.085461,0.628319,0.1813,0.286802,0.655855,1.2,-0.034487,0.0,-0.344866,0.0
9,0.9,0.487453,0.247017,1.03512,0.335383,0.108973,0.706858,0.205382,0.328262,0.660763,1.2,0.004908,0.0,0.049077,0.0
10,1.0,0.52118,0.303837,1.15512,0.365799,0.13495,0.785398,0.229491,0.369722,0.682952,1.2,0.022188,0.0,0.221885,0.0
11,1.1,0.548758,0.366317,1.27512,0.394084,0.163235,0.863938,0.255277,0.411182,0.654879,1.2,-0.028072,0.0,-0.280724,0.0
12,1.2,0.567841,0.428963,1.39512,0.420061,0.193651,0.942478,0.277867,0.452643,0.667399,1.2,0.01252,0.0,0.1252,0.0
13,1.3,0.579505,0.494675,1.51512,0.443573,0.226012,1.021018,0.301094,0.494103,0.639618,1.2,-0.027781,0.0,-0.277809,0.0
14,1.4,0.583064,0.558538,1.63512,0.464473,0.260117,1.099557,0.321121,0.535563,0.65807,1.2,0.018451,0.0,0.184514,0.0
15,1.5,0.578834,0.624209,1.75512,0.482632,0.295758,1.178097,0.34225,0.577023,0.636017,1.2,-0.022053,0.0,-0.22053,0.0
16,1.6,0.567177,0.686733,1.87512,0.49794,0.332713,1.256637,0.360728,0.618483,0.602233,1.2,-0.033783,0.0,-0.337835,0.0
17,1.7,0.549131,0.744189,1.99512,0.5103,0.370755,1.335177,0.375448,0.659943,0.628636,1.2,0.026402,0.0,0.264025,0.0
18,1.8,0.52325,0.801478,2.11512,0.519638,0.40965,1.413717,0.391845,0.701404,0.617576,1.2,-0.011059,0.0,-0.110592,0.0
19,1.9,0.49127,0.85431,2.23512,0.525896,0.449157,1.492257,0.40663,0.742864,0.653608,1.2,0.036032,0.0,0.360318,0.0
20,2.0,0.450973,0.905771,2.35512,0.529034,0.489034,1.570796,0.423985,0.784324,0.643556,1.2,-0.010052,0.0,-0.100519,0.0
21,2.1,0.405516,0.951326,2.47512,0.529034,0.529034,1.649336,0.439986,0.825784,0.617248,1.2,-0.026308,0.0,-0.263081,0.0
22,2.2,0.356999,0.989486,2.59512,0.525896,0.568911,1.727876,0.453221,0.867244,0.649,1.2,0.031752,0.0,0.317518,0.0
23,2.3,0.301551,1.023213,2.71512,0.519638,0.608418,1.806416,0.468632,0.908705,0.639596,1.2,-0.009404,0.0,-0.094041,0.0
24,2.4,0.24332,1.04967,2.83512,0.5103,0.647313,1.884956,0.482876,0.950165,0.67539,1.2,0.035794,0.0,0.357944,0.0
25,2.5,0.178928,1.070047,2.95512,0.49794,0.685355,1.963495,0.499756,0.991625,0.663496,1.2,-0.011895,0.0,-0.118948,0.0
26,2.6,0.113729,1.082347,3.07512,0.482632,0.72231,2.042035,0.515477,1.033085,0.634705,1.2,-0.028791,0.0,-0.287907,0.0
