step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.0,0.0
1,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,0.3,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
4,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,0.6,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7,0.7,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8,0.8,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
9,0.9,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
11,1.1,0.55,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
12,1.2,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
13,1.3,0.65,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
14,1.4,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
15,1.5,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
16,1.6,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17,1.7,0.85,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
18,1.8,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
19,1.9,0.95,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
20,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
21,2.1,1.05,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
22,2.2,1.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
23,2.3,1.15,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
