step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.0,0.0
1,0.1,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.711251,0.0,0.211251,0.0,2.11251,0.0
2,0.2,0.121125,0.0,0.0,0.1,0.0,0.0,0.021125,0.0,0.769801,0.0,0.05855,0.0,0.585498,0.0
3,0.3,0.198105,0.0,0.0,0.15,0.0,0.0,0.048105,0.0,0.827996,0.0,0.058196,0.0,0.581956,0.0
4,0.4,0.280905,0.0,0.0,0.2,0.0,0.0,0.080905,0.0,0.877584,0.0,0.049588,0.0,0.495876,0.0
5,0.5,0.368663,0.0,0.0,0.25,0.0,0.0,0.118663,0.0,0.843655,0.0,-0.033929,0.0,-0.33929,0.0
6,0.6,0.453029,0.0,0.0,0.3,0.0,0.0,0.153029,0.0,0.852044,0.0,0.008389,0.0,0.083888,0.0
7,0.7,0.538233,0.0,0.0,0.35,0.0,0.0,0.188233,0.0,0.877093,0.0,0.025049,0.0,0.25049,0.0
8,0.8,0.625942,0.0,0.0,0.4,0.0,0.0,0.225942,0.0,0.90554,0.0,0.028447,0.0,0.284471,0.0
9,0.9,0.716496,0.0,0.0,0.45,0.0,0.0,0.266496,0.0,0.858616,0.0,-0.046924,0.0,-0.469241,0.0
10,1.0,0.802358,0.0,0.0,0.5,0.0,0.0,0.302358,0.0,0.85934,0.0,0.000724,0.0,0.007239,0.0
11,1.1,0.888292,0.0,0.0,0.55,0.0,0.0,0.338292,0.0,0.88009,0.0,0.02075,0.0,0.207501,0.0
12,1.2,0.976301,0.0,0.0,0.6,0.0,0.0,0.376301,0.0,0.906285,0.0,0.026195,0.0,0.261953,0.0
13,1.3,1.066929,0.0,0.0,0.65,0.0,0.0,0.416929,0.0,0.858301,0.0,-0.047984,0.0,-0.479839,0.0
14,1.4,1.15276,0.0,0.0,0.7,0.0,0.0,0.45276,0.0,0.858623,0.0,0.000322,0.0,0.003219,0.0
15,1.5,1.238622,0.0,0.0,0.75,0.0,0.0,0.488622,0.0,0.879308,0.0,0.020684,0.0,0.206844,0.0
16,1.6,1.326553,0.0,0.0,0.8,0.0,0.0,0.526553,0.0,0.905589,-0.0,0.026281,-0.0,0.262812,-0.0
17,1.7,1.417112,0.0,-0.0,0.85,0.0,0.0,0.567112,-0.0,0.857742,-0.0,-0.047846,-0.0,-0.478463,-0.0
18,1.8,1.502886,-0.0,-0.0,0.9,0.0,0.0,0.602886,-0.0,0.858204,-0.0,0.000461,-0.0,0.004612,-2e-06
19,1.9,1.588706,-0.0,-0.0,0.95,0.0,0.0,0.638706,-0.0,0.879008,-1e-06,0.020804,-0.0,0.208042,-4e-06
20,2.0,1.676607,-0.0,-0.0,1.0,0.0,0.0,0.676607,-0.0,0.905383,0.0,0.026375,1e-06,0.263754,1.1e-05
21,2.1,1.767145,-0.0,-0.0,1.05,0.0,0.0,0.717145,-0.0,0.857607,2e-06,-0.047777,2e-06,-0.477767,1.7e-05
22,2.2,1.852906,-0.0,0.0,1.1,0.0,0.0,0.752906,0.0,0.858117,2.6e-05,0.00051,2.4e-05,0.005103,0.000242
23,2.3,1.938718,-0.0,3e-06,1.15,0.0,0.0,0.788718,3e-06,0.878953,0.00013,0.020837,0.000104,0.208366,0.00104
24,2.4,2.026613,0.0,1.6e-05,1.2,0.0,0.0,0.826613,1.6e-05,0.90534,0.000469,0.026387,0.000338,0.263866,0.003384
25,2.5,2.117147,2e-06,6.3e-05,1.25,0.0,0.0,0.867147,6.3e-05,0.857545,0.001093,-0.047795,0.000625,-0.477948,0.006247
26,2.6,2.202901,7e-06,0.000172,1.3,0.0,0.0,0.902901,0.000172,0.857848,0.002716,0.000303,0.001623,0.003026,0.016228
27,2.7,2.288686,2.2e-05,0.000444,1.35,0.0,0.0,0.938686,0.000444,0.877711,0.006021,0.019863,0.003305,0.198628,0.033045
28,2.8,2.376457,6.1e-05,0.001046,1.4,0.0,0.0,0.976457,0.001046,0.90116,0.011055,0.023449,0.005035,0.234492,0.050346
29,2.9,2.466573,0.000155,0.002151,1.45,0.0,0.0,1.016573,0.002151,0.846904,0.021477,-0.054256,0.010421,-0.542558,0.104214
30,3.0,2.551263,0.000337,0.004299,1.5,0.0,0.0,1.051264,0.004299,0.828131,0.889865,-0.018773,0.868389,-0.187732,8.683886
31,3.1,2.634076,0.000693,0.093285,1.55,0.0,0.0,1.084076,0.093285,0.848847,1.2,0.020717,0.310135,0.207166,3.101347
32,3.2,2.718591,0.0086,0.213285,1.6,0.0,0.0,1.118625,0.213285,0.813237,1.2,-0.035611,0.0,-0.356107,0.0
33,3.3,2.798072,0.025814,0.333285,1.65,0.0,0.0,1.148363,0.333285,0.821781,1.2,0.008544,0.0,0.08544,0.0
34,3.4,2.875728,0.052699,0.453285,1.7,0.0,0.0,1.176909,0.453285,0.781784,1.2,-0.039997,0.0,-0.399965,0.0
35,3.5,2.946012,0.086935,0.573285,1.75,0.0,0.0,1.199167,0.573285,0.798976,1.2,0.017192,0.0,0.17192,0.0
36,3.6,3.013136,0.130271,0.693285,1.8,0.0,0.0,1.22011,0.693285,0.769112,1.2,-0.029864,0.0,-0.298643,0.0
37,3.7,3.072292,0.179422,0.813285,1.85,0.0,0.0,1.235391,0.813285,0.798117,1.2,0.029005,0.0,0.290054,0.0
38,3.8,3.127132,0.237409,0.933285,1.9,0.0,0.0,1.249886,0.933285,0.776984,1.2,-0.021134,0.0,-0.211337,0.0
39,3.9,3.173378,0.299846,1.053285,1.95,0.0,0.0,1.259587,1.053285,0.741676,1.2,-0.035308,0.0,-0.353077,0.0
40,4.0,3.21007,0.364302,1.173285,2.0,0.0,0.0,1.263719,1.173285,0.791497,1.2,0.049821,0.0,0.498211,0.0
41,4.1,3.240711,0.43728,1.293285,2.05,0.0,0.0,1.268466,1.293285,0.795739,1.2,0.004242,0.0,0.042423,0.0
42,4.2,3.262511,0.513809,1.413285,2.1,0.0,0.0,1.270996,1.413285,0.784668,1.2,-0.011071,0.0,-0.110712,0.0
43,4.3,3.274819,0.591305,1.533285,2.15,0.0,0.0,1.270771,1.533285,0.860575,0.755791,0.075907,-0.444209,0.759069,-4.442088
