step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0525,0.0,0.525,0.0
1,0.1,0.00525,0.0,0.0,0.05,0.0,0.0,0.04475,0.0,0.105,0.0,0.0525,0.0,0.525,0.0
2,0.2,0.01575,0.0,0.0,0.1,0.0,0.0,0.08425,0.0,0.1575,0.0,0.0525,0.0,0.525,0.0
3,0.3,0.0315,0.0,0.0,0.15,0.0,0.0,0.1185,0.0,0.21,0.0,0.0525,0.0,0.525,0.0
4,0.4,0.0525,0.0,0.0,0.2,0.0,0.0,0.1475,0.0,0.2625,0.0,0.0525,0.0,0.525,0.0
5,0.5,0.07875,0.0,0.0,0.25,0.0,0.0,0.17125,0.0,0.315,0.0,0.0525,0.0,0.525,0.0
6,0.6,0.11025,0.0,0.0,0.3,0.0,0.0,0.18975,0.0,0.3675,0.0,0.0525,0.0,0.525,0.0
7,0.7,0.147,0.0,0.0,0.35,0.0,0.0,0.203,0.0,0.417375,0.0,0.049875,0.0,0.49875,0.0
8,0.8,0.188737,0.0,0.0,0.4,0.0,0.0,0.211263,0.0,0.459433,0.0,0.042058,0.0,0.420583,0.0
9,0.9,0.234681,0.0,0.0,0.45,0.0,0.0,0.215319,0.0,0.491504,0.0,0.032071,0.0,0.320707,0.0
10,1.0,0.283831,0.0,0.0,0.5,0.0,0.0,0.216169,0.0,0.513341,0.0,0.021837,0.0,0.218371,0.0
11,1.1,0.335165,0.0,0.0,0.55,0.0,0.0,0.214835,0.0,0.525979,0.0,0.012638,0.0,0.126377,0.0
12,1.2,0.387763,0.0,0.0,0.6,0.0,0.0,0.212237,0.0,0.531162,0.0,0.005184,0.0,0.051836,0.0
13,1.3,0.440879,0.0,0.0,0.65,0.0,0.0,0.209121,0.0,0.530896,0.0,-0.000266,0.0,-0.002663,0.0
14,1.4,0.493969,0.0,0.0,0.7,0.0,0.0,0.206031,0.0,0.527119,0.0,-0.003778,0.0,-0.037776,0.0
15,1.5,0.546681,0.0,0.0,0.75,0.0,0.0,0.203319,0.0,0.521499,0.0,-0.005619,0.0,-0.056193,0.0
16,1.6,0.598831,0.0,0.0,0.8,0.0,0.0,0.201169,0.0,0.515338,0.0,-0.006161,0.0,-0.061608,0.0
17,1.7,0.650365,0.0,0.0,0.85,0.0,0.0,0.199635,0.0,0.509544,0.0,-0.005794,0.0,-0.05794,0.0
18,1.8,0.701319,0.0,0.0,0.9,0.0,0.0,0.198681,0.0,0.504665,0.0,-0.00488,0.0,-0.048796,0.0
19,1.9,0.751786,0.0,0.0,0.95,0.0,0.0,0.198214,0.0,0.500949,0.0,-0.003716,0.0,-0.03716,0.0
20,2.0,0.801881,0.0,0.0,1.0,0.0,0.0,0.198119,0.0,0.498423,0.0,-0.002526,0.0,-0.025261,0.0
21,2.1,0.851723,0.0,0.0,1.05,0.0,0.0,0.198277,0.0,0.496965,0.0,-0.001458,0.0,-0.01458,0.0
22,2.2,0.901419,0.0,0.0,1.1,0.0,0.0,0.198581,0.0,0.496371,0.0,-0.000594,0.0,-0.005936,0.0
23,2.3,0.951056,0.0,0.0,1.15,0.0,0.0,0.198944,0.0,0.496409,0.0,3.8e-05,0.0,0.000375,0.0
24,2.4,1.000697,0.0,0.0,1.2,0.0,0.0,0.199303,0.0,0.496852,0.0,0.000443,0.0,0.004434,0.0
25,2.5,1.050383,0.0,0.0,1.25,0.0,0.0,0.199617,0.0,0.497508,0.0,0.000655,0.0,0.006554,0.0
26,2.6,1.100133,0.0,0.0,1.3,0.0,0.0,0.199867,0.0,0.498224,0.0,0.000717,0.0,0.007168,0.0
27,2.7,1.149956,0.0,0.0,1.35,0.0,0.0,0.200044,0.0,0.498898,0.0,0.000673,0.0,0.006731,0.0
28,2.8,1.199845,0.0,0.0,1.4,0.0,0.0,0.200155,0.0,0.499464,0.0,0.000566,0.0,0.005661,0.0
29,2.9,1.249792,0.0,0.0,1.45,0.0,0.0,0.200208,0.0,0.499894,0.0,0.000431,0.0,0.004306,0.0
30,3.0,1.299781,0.0,0.0,1.5,0.0,0.0,0.200219,0.0,0.500186,0.0,0.000292,0.0,0.002922,0.0
31,3.1,1.3498,0.0,0.0,1.55,0.0,0.0,0.2002,0.0,0.500355,-0.0,0.000168,-0.0,0.001682,-0.0
32,3.2,1.399835,0.0,-0.0,1.6,0.0,0.0,0.200165,-0.0,0.500423,-0.0,6.8e-05,-0.0,0.00068,-0.0
33,3.3,1.449878,-0.0,-0.0,1.65,0.0,0.0,0.200122,-0.0,0.500417,-0.0,-5e-06,-0.0,-5.1e-05,-0.0
34,3.4,1.499919,-0.0,-0.0,1.7,0.0,0.0,0.200081,-0.0,0.500365,-0.0,-5.2e-05,-0.0,-0.00052,-0.0
35,3.5,1.549956,-0.0,-0.0,1.75,0.0,0.0,0.200044,-0.0,0.500289,-0.0,-7.6e-05,-0.0,-0.000764,-0.0
36,3.6,1.599985,-0.0,-0.0,1.8,0.0,0.0,0.200015,-0.0,0.500206,-0.0,-8.3e-05,-0.0,-0.000834,-0.0
37,3.7,1.650005,-0.0,-0.0,1.85,0.0,0.0,0.199995,-0.0,0.500127,-0.0,-7.8e-05,0.0,-0.000782,0.0
38,3.8,1.700018,-0.0,-0.0,1.9,0.0,0.0,0.199982,-0.0,0.500062,0.0,-6.6e-05,0.0,-0.000657,0.0
39,3.9,1.750024,-0.0,-0.0,1.95,0.0,0.0,0.199976,-0.0,0.500012,0.0,-5e-05,0.0,-0.000499,0.0
40,4.0,1.800025,-0.0,0.0,2.0,0.0,0.0,0.199975,0.0,0.499978,0.0,-3.4e-05,0.0,-0.000338,0.0
41,4.1,1.850023,-0.0,0.0,2.05,0.0,0.0,0.199977,0.0,0.499959,0.0,-1.9e-05,0.0,-0.000194,0.0
42,4.2,1.900019,0.0,0.0,2.1,0.0,0.0,0.199981,0.0,0.499951,0.0,-8e-06,0.0,-7.8e-05,0.0
43,4.3,1.950014,0.0,0.0,2.15,0.0,0.0,0.199986,0.0,0.499951,0.0,1e-06,0.0,7e-06,0.0
44,4.4,2.000009,0.0,0.0,2.2,0.0,0.0,0.199991,0.0,0.499958,0.0,6e-06,0.0,6.1e-05,0.0
45,4.5,2.050005,0.0,0.0,2.25,0.0,0.0,0.199995,0.0,0.499967,0.0,9e-06,0.0,8.9e-05,0.0
46,4.6,2.100002,0.0,0.0,2.3,0.0,0.0,0.199998,0.0,0.499976,0.0,1e-05,-0.0,9.7e-05,-0.0
47,4.7,2.149999,0.0,0.0,2.35,0.0,0.0,0.200001,0.0,0.499985,0.0,9e-06,-0.0,9.1e-05,-0.0
